theta 	horizontal_polarization_intensity 	vertical_polarization_intensity 	x_coordinate 	y_coordinate 	r 	pixel_count
0.6744 	18290 	22457 	489.2981 	138.5479 	0.8144 	23
0.6651 	17761 	23278 	490.5589 	140.1405 	0.763 	23
0.6561 	18007 	22705 	491.8057 	141.7453 	0.7931 	24
0.6473 	17710 	24168 	493.0387 	143.3618 	0.7328 	22
0.6388 	18621 	24027 	494.2582 	144.9896 	0.775 	24
0.6305 	18545 	25454 	495.4644 	146.6282 	0.7286 	24
0.6225 	19222 	26462 	496.6577 	148.2771 	0.7264 	23
0.6147 	21810 	29444 	497.8384 	149.9359 	0.7407 	24
0.6072 	19466 	26582 	499.0066 	151.6042 	0.7323 	24
0.6 	17800 	24066 	500.1628 	153.2814 	0.7396 	22
0.5929 	21138 	31834 	501.3072 	154.9671 	0.664 	26
0.5862 	18559 	28303 	502.44 	156.6608 	0.6557 	22
0.5796 	17310 	28322 	503.5615 	158.3622 	0.6112 	23
0.5731 	17362 	27088 	504.6721 	160.0707 	0.6409 	24
0.5664 	18363 	30425 	505.7714 	161.7863 	0.6035 	24
0.5595 	17254 	29794 	506.8589 	163.5095 	0.5791 	24
0.5523 	15761 	27686 	507.9344 	165.2402 	0.5693 	23
0.5449 	16817 	26999 	508.9972 	166.9788 	0.6229 	23
0.5373 	19579 	33135 	510.047 	168.7255 	0.5909 	24
0.5293 	18392 	31008 	511.0832 	170.4806 	0.5931 	23
0.5212 	15600 	27306 	512.1055 	172.2441 	0.5713 	24
0.5128 	14965 	28156 	513.1133 	174.0165 	0.5315 	24
0.5041 	15962 	33191 	514.1063 	175.7979 	0.4809 	24
0.4953 	15384 	32158 	515.084 	177.5884 	0.4784 	23
0.4861 	15658 	33069 	516.0459 	179.3885 	0.4735 	23
0.4768 	16002 	31061 	516.9916 	181.1982 	0.5152 	23
0.4672 	16792 	35838 	517.9206 	183.0179 	0.4686 	26
0.4574 	12544 	28047 	518.8325 	184.8476 	0.4472 	21
0.4473 	14810 	30995 	519.7267 	186.6877 	0.4778 	26
0.437 	11871 	27421 	520.603 	188.5385 	0.4329 	24
0.4265 	14337 	32069 	521.4608 	190.4 	0.4471 	24
0.4157 	15169 	32081 	522.2996 	192.2726 	0.4728 	23
0.4048 	15076 	33443 	523.1191 	194.1564 	0.4508 	25
0.3937 	13018 	29949 	523.9187 	196.0518 	0.4347 	23
0.3827 	13843 	30138 	524.6984 	197.9585 	0.4593 	24
0.3719 	13724 	34044 	525.4581 	199.876 	0.4031 	25
0.3613 	14143 	32760 	526.1981 	201.8038 	0.4317 	24
0.3509 	14780 	34844 	526.9186 	203.7413 	0.4242 	25
0.3406 	13713 	33605 	527.6196 	205.688 	0.4081 	24
0.3306 	13139 	34867 	528.3015 	207.6432 	0.3768 	24
0.3207 	14935 	35644 	528.9642 	209.6064 	0.419 	25
0.311 	13170 	33937 	529.608 	211.5771 	0.3881 	23
0.3014 	12442 	35761 	530.2332 	213.5547 	0.3479 	25
0.292 	11278 	33055 	530.8397 	215.5386 	0.3412 	24
0.2828 	12902 	36114 	531.4277 	217.5283 	0.3573 	25
0.2737 	11365 	33654 	531.9975 	219.5232 	0.3377 	23
0.2648 	11820 	33037 	532.5492 	221.5227 	0.3578 	25
0.256 	12035 	35470 	533.0829 	223.5263 	0.3393 	24
0.2473 	12919 	41285 	533.5988 	225.5334 	0.3129 	24
0.2388 	11740 	36561 	534.0972 	227.5435 	0.3211 	24
0.2304 	12025 	36195 	534.5779 	229.5559 	0.3322 	24
0.2221 	10964 	34638 	535.0415 	231.5702 	0.3165 	23
0.2139 	12680 	39878 	535.4879 	233.5858 	0.318 	24
0.2058 	11507 	37781 	535.9172 	235.602 	0.3046 	25
0.1978 	12051 	35363 	536.3298 	237.6184 	0.3408 	23
0.1897 	11891 	38769 	536.7255 	239.6349 	0.3067 	25
0.1817 	10889 	35477 	537.1044 	241.6515 	0.3069 	22
0.1736 	11347 	34448 	537.4664 	243.6683 	0.3294 	24
0.1654 	12482 	37866 	537.8116 	245.6852 	0.3296 	25
0.1573 	10036 	34550 	538.14 	247.7023 	0.2905 	22
0.1491 	11436 	42306 	538.4515 	249.7197 	0.2703 	24
0.1409 	12139 	40703 	538.7462 	251.7375 	0.2982 	25
0.1326 	10513 	35974 	539.0239 	253.7555 	0.2922 	22
0.1244 	11170 	36640 	539.2847 	255.774 	0.3049 	24
0.1161 	11537 	36247 	539.5286 	257.7929 	0.3183 	23
0.1078 	11165 	41087 	539.7556 	259.8123 	0.2717 	23
0.09946 	11123 	36478 	539.9657 	261.8322 	0.3049 	22
0.09112 	10344 	37487 	540.1588 	263.8526 	0.2759 	22
0.08274 	10811 	37115 	540.335 	265.8736 	0.2913 	22
0.07438 	10632 	39770 	540.4941 	267.8953 	0.2673 	25
0.066 	9998 	36968 	540.6363 	269.9176 	0.2705 	23
0.05761 	9388 	33090 	540.7615 	271.9407 	0.2837 	22
0.04921 	10820 	39460 	540.8697 	273.9645 	0.2742 	23
0.04079 	9906 	38041 	540.9609 	275.9891 	0.2604 	23
0.03227 	11474 	38410 	541.035 	278.0146 	0.2987 	23
0.0235 	11072 	41052 	541.0917 	280.0409 	0.2697 	23
0.01438 	10937 	41334 	541.1302 	282.0677 	0.2646 	25
0.004907 	8552 	33371 	541.15 	284.0952 	0.2563 	22
-0.004936 	8761 	31854 	541.1501 	286.1229 	0.275 	22
-0.01514 	8637 	35319 	541.1299 	288.1509 	0.2445 	22
-0.02568 	8942 	35438 	541.0887 	290.1789 	0.2523 	22
-0.03658 	9613 	35307 	541.0258 	292.2069 	0.2723 	22
-0.04784 	8435 	32149 	540.9403 	294.2346 	0.2624 	21
-0.05946 	10151 	39141 	540.8316 	296.262 	0.2593 	22
-0.07141 	9106 	36273 	540.699 	298.2888 	0.251 	22
